Report sulle vendite
Codice commerciante (criptato),HAYUMYJTWLRTE
Periodo di tempo,1 giu 2026 - 31 ago 2026

Panoramica
Valuta,EUR
Volume totale delle vendite,591.75
Quantità totale delle vendite,13
Valore medio degli ordini,45.51923076923077

Riepilogo giornaliero
Data,Quantità totale delle vendite,Volume totale delle vendite,Valore medio degli ordini
2026-06-01,0,0,
2026-06-02,0,0,
2026-06-03,0,0,
2026-06-04,0,0,
2026-06-05,0,0,
2026-06-06,0,0,
2026-06-07,0,0,
2026-06-08,0,0,
2026-06-09,0,0,
2026-06-10,0,0,
2026-06-11,0,0,
2026-06-12,0,0,
2026-06-13,0,0,
2026-06-14,0,0,
2026-06-15,0,0,
2026-06-16,0,0,
2026-06-17,2,62.96,31.48
2026-06-18,0,0,
2026-06-19,0,0,
2026-06-20,0,0,
2026-06-21,0,0,
2026-06-22,0,0,
2026-06-23,0,0,
2026-06-24,0,0,
2026-06-25,0,0,
2026-06-26,0,0,
2026-06-27,0,0,
2026-06-28,0,0,
2026-06-29,0,0,
2026-06-30,0,0,
2026-07-01,0,0,
2026-07-02,0,0,
2026-07-03,0,0,
2026-07-04,3,207.94,69.31333333333333
2026-07-05,0,0,
2026-07-06,0,0,
2026-07-07,0,0,
2026-07-08,0,0,
2026-07-09,0,0,
2026-07-10,0,0,
2026-07-11,0,0,
2026-07-12,0,0,
2026-07-13,0,0,
2026-07-14,0,0,
2026-07-15,1,49.99,49.99
2026-07-16,0,0,
2026-07-17,0,0,
2026-07-18,0,0,
2026-07-19,1,37.99,37.99
2026-07-20,0,0,
2026-07-21,0,0,
2026-07-22,0,0,
2026-07-23,0,0,
2026-07-24,0,0,
2026-07-25,0,0,
2026-07-26,0,0,
2026-07-27,0,0,
2026-07-28,0,0,
2026-07-29,0,0,
2026-07-30,2,62.96,31.48
2026-07-31,0,0,
2026-08-01,0,0,
2026-08-02,0,0,
2026-08-03,0,0,
2026-08-04,0,0,
2026-08-05,0,0,
2026-08-06,0,0,
2026-08-07,0,0,
2026-08-08,0,0,
2026-08-09,0,0,
2026-08-10,0,0,
2026-08-11,0,0,
2026-08-12,0,0,
2026-08-13,0,0,
2026-08-14,0,0,
2026-08-15,0,0,
2026-08-16,0,0,
2026-08-17,2,62.96,31.48
2026-08-18,0,0,
2026-08-19,0,0,
2026-08-20,0,0,
2026-08-21,0,0,
2026-08-22,0,0,
2026-08-23,0,0,
2026-08-24,1,53.97,53.97
2026-08-25,0,0,
2026-08-26,1,52.98,52.98
2026-08-27,0,0,
2026-08-28,0,0,
2026-08-29,0,0,
2026-08-30,0,0,
2026-08-31,0,0,
Totale,13,591.75,45.51923076923077

Vendite per tipo di metodo di pagamento
Metodo di pagamento,Quantità totale delle vendite,Volume totale delle vendite,% del volume di vendita totale
PayPal,13,591.75,100%

Vendite per tipo di cliente
Tipo di cliente,Quantità totale delle vendite,Volume totale delle vendite,% del volume di vendita totale
Nuovi clienti,2,91.96,"15,54%"
Clienti abituali,11,499.79,"84,46%"

Vendite per Paese
Nome del Paese,Quantità totale delle vendite,Volume totale delle vendite,% del volume di vendita totale
Italia,13,591.75,100%
