id,title,description,link,image_link,price,availability,condition
"ft-bouquet-di-rose","Bouquet di Rose","Pregiato bouquet di rose fresche selezionate con cura, confezionato a mano dai nostri fioristi partner e posato con rispetto sulla tomba del tuo caro. Foto prova inclusa.","https://www.floremoria.com/fiori-sulle-tombe/bouquet-di-rose","https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet Rose/bouquet-rose-giallo-classico-cimitero-consegna-ferrara.webp","34.99 EUR","in_stock","new"
"ft-bouquet-omaggio-speciale","Omaggio Speciale","Omaggio Speciale - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/fiori-sulle-tombe/bouquet-omaggio-speciale","https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet Omaggio Speciale/bouquet-fiori-misti-commemorativo-consegna-veloce-verona.webp","39.99 EUR","in_stock","new"
"ft-foto-stato-prima-consegna","Foto stato di fatto prima della consegna","Foto stato di fatto prima della consegna - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/fiori-sulle-tombe/foto-stato-prima-consegna","https://www.floremoria.com/Watermark.webp","1.49 EUR","in_stock","new"
"ft-lumino","Lumino","Tradizionale lumino votivo per tomba o loculo, simbolo di memoria costante. Servizio professionale di posa, accensione al cimitero e invio foto dello stato di fatto.","https://www.floremoria.com/fiori-sulle-tombe/lumino","https://www.floremoria.com/images/products/fiori-sulle-tombe/lumino/accensione-lumino-voto-cimitero-italia-servizio-udine.webp","3.49 EUR","in_stock","new"
"ft-bouquet-tributo-eterno","Tributo Eterno","Tributo Eterno - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/fiori-sulle-tombe/bouquet-tributo-eterno","https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet Tributo Eterno/bouquet-fiori-pregiati-defunti-alta-gamma-bologna.webp","49.99 EUR","in_stock","new"
"ft-bouquet-ricordo-affettuoso","Ricordo Affettuoso","Ricordo Affettuoso - Omaggio floreale premium di altissima qualità firmato FloreMoria. Consegna garantita a domicilio o al cimitero.","https://www.floremoria.com/fiori-sulle-tombe/bouquet-ricordo-affettuoso","https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet Ricordo Affettuoso/consegna-fiori-cimitero-italia-bouquet-economico-bari.webp","29.99 EUR","in_stock","new"
"ft-messaggio","Messaggio","Dedica commemorativa personalizzata trascritta a mano su cartoncino pregiato abbinato all'omaggio floreale, posata con cura per esprimere i tuoi sentimenti più profondi.","https://www.floremoria.com/fiori-sulle-tombe/messaggio","https://www.floremoria.com/images/products/fiori-sulle-tombe/messaggio/biglietto-commemorativo-messaggio-caro-estinto-floremoria-parma.webp","2.49 EUR","in_stock","new"
"ff-bouquet-cordoglio-sincero","Bouquet Cordoglio Sincero","Elegante mazzo di fiori freschi nei toni candidi del lutto, ideale per esprimere sincere condoglianze alla famiglia durante il rito delle esequie in chiesa o cappella.","https://www.floremoria.com/per-il-funerale/bouquet-cordoglio-sincero","https://www.floremoria.com/images/products/Fiori-per-Funerale/bouquet-cordoglio-sincero/bouquet-cordoglio-sincero-consegna-funerale-cimitero-latina.webp","49.99 EUR","in_stock","new"
"ff-bouquet-rispetto-vicinanza","Bouquet Rispetto e Vicinanza","Composizione floreale composta ed espressiva progettata per porgere le condoglianze ed esprimere vicinanza. Realizzata a mano con fiori freschi di prima scelta.","https://www.floremoria.com/per-il-funerale/bouquet-rispetto-vicinanza","https://www.floremoria.com/images/products/Fiori-per-Funerale/bouquet-rispetto-vicinanza/bouquet-rispetto-vicinanza-funerale-lutto-cimitero-roma.webp","39.99 EUR","in_stock","new"
"ff-kalonche","Kalonche (pianta in vaso)","Resistente pianta fiorita di Kalanchoe confezionata con cura, ideale per una presenza duratura sul loculo o in cappella per onorare il ricordo del caro defunto.","https://www.floremoria.com/per-il-funerale/kalonche","https://www.floremoria.com/images/products/Fiori-per-Funerale/kalonche/composizione-pianta-kalanchoe-lutto-tomba-chiesa-napoli.webp","37.99 EUR","in_stock","new"
