id,title,description,link,image_link,availability,price,google_product_category,brand,condition,identifier_exists
FM-bouquet-di-rose,Bouquet di Rose - Consegna Fiori al Cimitero con Foto WhatsApp,"Il Bouquet di Rose è un omaggio floreale elegante e senza tempo, pensato per esprimere affetto, vicinanza e rispetto nel ricordo di una persona cara. La composizione include una selezione di 5 rose fresche, simbolo universale di amore eterno, purezza e memoria. Ogni bouquet viene realizzato dal fiorista locale in base alla stagionalità e alla disponibilità nella zona di consegna, garantendo freschezza e armonia nella composizione. Dopo la consegna riceverai le due foto (prima e dopo) direttamente sul tuo WhatsApp e nel tuo profilo personale, come conferma del servizio. Le immagini hanno valore illustrativo: i fiori possono variare leggermente, ma il risultato finale manterrà lo stile e l’eleganza del bouquet scelto. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-sulle-tombe/bouquet-di-rose,https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet%20Rose/bouquet-rose-giallo-classico-cimitero-consegna-ferrara.webp,in_stock,34.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-lumino,Lumino - Lumino e Candele FloreMoria con Consegna e Foto WhatsApp,"Un semplice lumino per illuminare il ricordo. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/accessori/lumino,https://www.floremoria.com/images/products/fiori-sulle-tombe/lumino/accensione-lumino-voto-cimitero-italia-servizio-udine.webp,in_stock,3.49 EUR,Home & Garden > Decor > Candles & Scented Oils,FloreMoria,new,no
FM-messaggio,Messaggio - Accessorio Omaggio FloreMoria con Consegna e Foto WhatsApp,"Un biglietto con un messaggio personalizzato. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/accessori/messaggio,https://www.floremoria.com/images/products/fiori-sulle-tombe/messaggio/biglietto-commemorativo-messaggio-caro-estinto-floremoria-parma.webp,in_stock,2.49 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-kalonche,Kalonchoe (pianta in vaso) - Consegna Fiori Funerale con Foto WhatsApp,"Resistenza, colore e sobrietà. Una pianta fiorita pensata per un omaggio che resti nel tempo, curata dai fioristi locali per garantire vigore e bellezza. Verifica fotografica della consegna su WhatsApp. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-funerale/kalonche,https://www.floremoria.com/images/products/Fiori-per-Funerale/kalonche/composizione-pianta-kalanchoe-lutto-tomba-chiesa-napoli.webp,in_stock,37.99 EUR,Home & Garden > Plants > House & Indoor Plants,FloreMoria,new,no
FM-margherite-gerbere,Margherite/Gerbere (pianta in vaso) - Consegna Fiori Funerale con Foto WhatsApp,"La vita che continua nel ricordo attraverso una pianta curata. Un omaggio duraturo e luminoso, simbolo di purezza e semplicità. Ideale per una presenza costante nel luogo del ricordo. Foto della posa inclusa. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-funerale/margherite-gerbere,https://www.floremoria.com/images/products/Fiori-per-Funerale/margherite-gerbere%20FF/bouquet-margherite-condoglianze-lutto-defunti-freschi-salerno.webp,in_stock,39.99 EUR,Home & Garden > Plants > House & Indoor Plants,FloreMoria,new,no
FM-bouquet-rispetto-vicinanza,Bouquet Rispetto e Vicinanza - Consegna Fiori Funerale con Foto WhatsApp,"Omaggio essenziale e composto per un saluto discreto. Fiori freschi di stagione scelti per la loro sobrietà ed eleganza naturale. Un gesto autentico di memoria con foto della consegna su WhatsApp. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-funerale/bouquet-rispetto-vicinanza,https://www.floremoria.com/images/products/Fiori-per-Funerale/bouquet-rispetto-vicinanza/bouquet-rispetto-vicinanza-funerale-lutto-cimitero-roma.webp,in_stock,39.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-bouquet-ricordo-affettuoso,Ricordo Affettuoso - Consegna Fiori al Cimitero con Foto WhatsApp,"Il Ricordo Affettuoso è un omaggio floreale delicato, pensato per esprimere affetto, vicinanza e rispetto nel ricordo di una persona cara. Ogni bouquet viene realizzato dal fiorista locale in base alla stagionalità e alla disponibilità nella zona di consegna, garantendo freschezza e armonia. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-sulle-tombe/bouquet-ricordo-affettuoso,https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet%20Ricordo%20Affettuoso/consegna-fiori-cimitero-italia-bouquet-economico-bari.webp,in_stock,29.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-bouquet-omaggio-speciale,Omaggio Speciale - Consegna Fiori al Cimitero con Foto WhatsApp,"L'Omaggio Speciale è una composizione floreale curata in ogni minimo dettaglio, pensata per esprimere vicinanza e rispetto nel ricordo di una persona cara. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-sulle-tombe/bouquet-omaggio-speciale,https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet%20Omaggio%20Speciale/bouquet-fiori-misti-commemorativo-consegna-veloce-verona.webp,in_stock,39.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-bouquet-tributo-eterno,Tributo Eterno - Consegna Fiori al Cimitero con Foto WhatsApp,"Il Tributo Eterno è un omaggio floreale maestoso, pensato per onorare una memoria preziosa ed esprimere profondo rispetto e vicinanza. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-sulle-tombe/bouquet-tributo-eterno,https://www.floremoria.com/images/products/fiori-sulle-tombe/Bouquet%20Tributo%20Eterno/bouquet-fiori-pregiati-defunti-alta-gamma-bologna.webp,in_stock,49.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
FM-bouquet-cordoglio-sincero,Bouquet Cordoglio Sincero - Consegna Fiori Funerale con Foto WhatsApp,"La forza della semplicità in un pensiero che parla al cuore. Un bouquet delicato e fresco, perfetto per trasmettere vicinanza sincera alla famiglia nel momento del lutto. Conferma fotografica via WhatsApp. Servizio FloreMoria: consegna dell'omaggio floreale sulla tomba o nel luogo indicato da fioristi partner locali, con foto di conferma inviata su WhatsApp e nel profilo personale.",https://www.floremoria.com/fiori-per-funerale/bouquet-cordoglio-sincero,https://www.floremoria.com/images/products/Fiori-per-Funerale/bouquet-cordoglio-sincero/bouquet-cordoglio-sincero-consegna-funerale-cimitero-latina.webp,in_stock,49.99 EUR,Home & Garden > Plants > Flowers & Cut Flowers,FloreMoria,new,no
